StoreName,StoreType,StoreOpeningDate,Address,City,State,Country,Region,ManagerName
The Trendy Enclave,Outlet Stores,1987-10-20,"USS Santana, FPO AA 64525",South Sherrystad,Mississippi,Ghana,North,Donald
The Stylish Marketplace,Outlet Stores,2009-05-07,"25739 Waters Forge Apt. 654, Jonesport  MS 03931",Robertfort,Colorado,Sudan,East,Kelsey
The Harmony Emporium,MBO,2010-03-22,"6260 Johnston Hills Apt. 490, Sarahborough  NY 60330",West John,Iowa,Jersey,South,Michael
The Purely Vault,MBO,1984-09-08,"PSC 7505  Box 6698, APO AA 41960",Martinville,Connecticut,Greece,East,Rita
The Modern Shoppe,Exclusive,1996-06-16,"48237 Anderson Pike, Gilbertland  AR 37373",North Timothy,Maryland,Saint Barthelemy,West,Jeremy
The Modern Quest,Outlet Stores,1973-12-23,"507 Kim Path Apt. 926, Reedfort  VA 79124",Port Dale,Delaware,Sri Lanka,West,Robert
The Elegant Nook,SMB,2024-11-29,"697 Heather Lights, South Jesseview  TX 46898",North Josephside,Vermont,Congo,West,Julie
The Classy Creations,MBO,1993-08-26,"392 Lindsey Wall, West Sharonchester  NC 50192",South James,New Mexico,Martinique,West,Mary
The Timeless Essentials,MBO,2018-12-26,"USS Mcintyre, FPO AE 99902",New Austinbury,Indiana,Togo,South,Stephanie
The Dapper Avenue,SMB,1973-06-07,"05914 Jason Mountains, Washingtonborough  ND 03091",South Katelynborough,Colorado,Uzbekistan,West,Michael
The Dapper Shop,MBO,1983-11-17,"8568 Edwards Mall, Port Virginiastad  IL 42455",Phillipsburgh,Florida,Canada,East,Taylor
The Rustic Deals,SMB,1974-12-14,"27636 Hughes Hollow, West Alan  MI 91632",New Heidi,South Carolina,Yemen,South,Christina
The Elegant Shoppe,Exclusive,1970-05-09,"571 Mendoza Drive, Gomezton  HI 27148",Jordanstad,Louisiana,Western Sahara,East,Paul
The Artisan Essentials,Outlet Stores,2007-08-23,"Unit 4641 Box 6489, DPO AE 89087",Jonesview,New Jersey,Iceland,West,Scott
The Artisan Closet,Exclusive,1997-03-03,"597 Barbara Lights Suite 599, New Jacobside  MT 59667",Michaelstad,Wisconsin,Ghana,South,Jillian
The Happy Avenue,SMB,2001-08-23,"Unit 8158 Box 1899, DPO AP 12343",Christinaland,Mississippi,Spain,East,Christopher
The Unique Reflections,MBO,2015-04-20,"9001 Mark Estates Suite 398, Douglasfurt  OR 58821",East Ashley,Hawaii,Belize,West,Christopher
The Timeless Loft,Outlet Stores,1974-02-16,"765 Maria Coves Suite 381, Apriltown  VI 64951",New Debramouth,Connecticut,Lesotho,South,Stephen
The Happy Finds,MBO,2025-11-11,"24778 Adrian Burgs, Whiteberg  PA 08739",Victorialand,Kentucky,Andorra,North,Michelle
