STOREID,STORENAME,STORETYPE,STOREOPENINGDATE,ADDRESS,CITY,STATE,COUNTRY,REGION,MANAGERNAME
1,The Trendy Enclave,Outlet Stores,2022-02-15,"USS Santana, FPO AA 64525",South Sherrystad,Mississippi,Ghana,North,Donald
2,The Stylish Marketplace,Outlet Stores,2026-01-12,"25739 Waters Forge Apt. 654, Jonesport  MS 03931",Robertfort,Colorado,Sudan,East,Kelsey
3,The Harmony Emporium,MBO,2019-09-02,"6260 Johnston Hills Apt. 490, Sarahborough  NY 60330",West John,Iowa,Jersey,South,Michael
4,The Purely Vault,MBO,2018-05-23,"PSC 7505  Box 6698, APO AA 41960",Martinville,Connecticut,Greece,East,Rita
5,The Modern Shoppe,Exclusive,2020-04-25,"48237 Anderson Pike, Gilbertland  AR 37373",North Timothy,Maryland,Saint Barthelemy,West,Jeremy
6,The Modern Quest,Outlet Stores,2022-09-18,"507 Kim Path Apt. 926, Reedfort  VA 79124",Port Dale,Delaware,Sri Lanka,West,Robert
7,The Elegant Nook,SMB,2023-09-01,"697 Heather Lights, South Jesseview  TX 46898",North Josephside,Vermont,Congo,West,Julie
8,The Classy Creations,MBO,2019-01-22,"392 Lindsey Wall, West Sharonchester  NC 50192",South James,New Mexico,Martinique,West,Mary
9,The Timeless Essentials,MBO,2021-12-28,"USS Mcintyre, FPO AE 99902",New Austinbury,Indiana,Togo,South,Stephanie
10,The Dapper Avenue,SMB,2024-11-23,"05914 Jason Mountains, Washingtonborough  ND 03091",South Katelynborough,Colorado,Uzbekistan,West,Michael
11,The Dapper Shop,MBO,2022-01-22,"8568 Edwards Mall, Port Virginiastad  IL 42455",Phillipsburgh,Florida,Canada,East,Taylor
12,The Rustic Deals,SMB,2024-02-18,"27636 Hughes Hollow, West Alan  MI 91632",New Heidi,South Carolina,Yemen,South,Christina
13,The Elegant Shoppe,Exclusive,2023-11-09,"571 Mendoza Drive, Gomezton  HI 27148",Jordanstad,Louisiana,Western Sahara,East,Paul
14,The Artisan Essentials,Outlet Stores,2019-07-04,"Unit 4641 Box 6489, DPO AE 89087",Jonesview,New Jersey,Iceland,West,Scott
15,The Artisan Closet,Exclusive,2023-04-18,"597 Barbara Lights Suite 599, New Jacobside  MT 59667",Michaelstad,Wisconsin,Ghana,South,Jillian
16,The Happy Avenue,SMB,2020-02-23,"Unit 8158 Box 1899, DPO AP 12343",Christinaland,Mississippi,Spain,East,Christopher
17,The Unique Reflections,MBO,2016-12-21,"9001 Mark Estates Suite 398, Douglasfurt  OR 58821",East Ashley,Hawaii,Belize,West,Christopher
18,The Timeless Loft,Outlet Stores,2017-02-14,"765 Maria Coves Suite 381, Apriltown  VI 64951",New Debramouth,Connecticut,Lesotho,South,Stephen
19,The Happy Finds,MBO,2017-05-24,"24778 Adrian Burgs, Whiteberg  PA 08739",Victorialand,Kentucky,Andorra,North,Michelle
20,The Radiant Shop,Outlet Stores,2024-10-02,"4046 Beltran Island, Mitchellland  NY 97972",Anthonyfort,North Carolina,Sri Lanka,North,Ronnie
21,The Happy Nook,MBO,2017-06-18,"36676 Molina Plains Suite 010, Lewiston  VT 15763",West Thomas,Hawaii,Saint Pierre and Miquelon,South,Daniel
22,The Artisan Corner,SMB,2025-07-01,"Unit 3442 Box 6360, DPO AA 59236",Martinezfort,Ohio,Zambia,West,Patrick
23,The Rustic Reflections,Outlet Stores,2017-03-10,"06553 Mcguire Lock Apt. 958, East Kara  UT 05251",Deckerville,Maine,Wallis and Futuna,West,Vanessa
24,The Serene Vault,MBO,2016-03-09,"65647 Villegas Rapid, East Jennaview  AS 51031",Foxshire,Washington,United States Minor Outlying Islands,South,Nicholas
25,The Artisan Elegance,Outlet Stores,2024-10-12,"90024 Shawn Spring Apt. 774, East Nathanbury  MD 34878",West Jasonberg,Massachusetts,Bhutan,North,Andrew
26,The Elegant Sanctuary,Exclusive,2025-09-16,"986 Gonzalez Underpass Apt. 060, Port Brad  AL 02197",Loriborough,Oklahoma,Liechtenstein,South,Brian
27,The Shimmer Creations,MBO,2025-10-18,"PSC 0873  Box 1591, APO AE 00897",Kristinton,Arkansas,Tajikistan,East,Anthony
28,The Golden Quest,MBO,2017-02-26,"438 Laura Wall Suite 603, East Toddmouth  OH 76406",Berryland,Maine,Bhutan,South,Erica
29,The Classy Cabinet,Exclusive,2021-09-22,"00988 Stevens Lane Apt. 902, Port Melanieland  SC 08185",North Adrianmouth,South Carolina,Iran,East,Michael
30,The Unique Haven,Outlet Stores,2021-07-22,"6053 John Club Apt. 824, Hannahburgh  GA 88344",Jenniferland,Washington,Bolivia,East,Michelle
31,The Blissful Emporium,Outlet Stores,2020-12-01,"Unit 3403 Box 8602, DPO AE 24917",West Michael,Maine,Seychelles,South,April
32,The Harmony Perfection,MBO,2021-05-25,"28742 Nelson Trafficway Suite 685, Darlenehaven  SC 30753",Jasonbury,Kentucky,Cuba,South,Sally
33,The Enchanted Corner,SMB,2017-06-26,"969 Nancy Mountain, Nicolemouth  MD 42513",Ramoston,Kentucky,Benin,North,Terri
34,The Urban Merchant,Outlet Stores,2018-01-10,"43715 Mark Landing Suite 856, Lake Cory  WA 24198",Heathshire,Colorado,Pakistan,North,Keith
35,The Urban Merchant,Outlet Stores,2024-09-01,"44674 Tammy Ports Apt. 036, Danaview  OK 17748",New Brandon,South Dakota,Niger,South,Bianca
36,The Artisan Elegance,Exclusive,2018-07-18,"717 Kathleen Street Suite 374, New Lynn  LA 56891",New Shawna,Wisconsin,Vanuatu,West,Jennifer
37,The Harmony Avenue,MBO,2016-09-11,"0614 Lori Hills, New Saraville  ME 53544",Ayersfort,Utah,Christmas Island,North,Stacey
38,The Radiant Sanctuary,MBO,2016-03-06,"512 Humphrey Underpass Apt. 269, East Andrea  NC 11490",Parkerside,North Dakota,Somalia,North,Lance
